id,isbn,title,isbn13,asin,kindle_asin,marketplace_id,country_code,publication_date,publisher,language_code,is_ebook,books_count,best_book_id,reviews_count,ratings_sum,ratings_count,text_reviews_count,original_publication_date,original_title,media_type,num_ratings_5,num_ratings_4,num_ratings_3,num_ratings_2,num_ratings_1,average_rating,num_pages,format,edition_information,ratings_count_global,text_reviews_count_global,authors,illustrator,contributor,editor,translator,narrator,to_read,read,currently_reading
100001,0006375170,Stephen Hawking's Universe,9780006375173,,,,ES,1989/1/1,Fontana Paperbacks,eng,false,6,2102,1494,2638,654,30,1984/7/1,Beyond The Black Hole,book,239,245,127,39,4,4.03,127,Paperback,,5,1,John Boslough,,,,,,682,14,17
100006,0316328197,Schrödinger's Kittens and the Search for Reality: Solving the Quantum Mysteries,9780316328197,,,,ES,1996/5/1,Back Bay Books,eng,false,11,100006,4107,5627,1391,58,1984/1/1,Schrödinger's Cat Kittens and the Search for Reality: Solving the Quantum Mysteries,book,486,556,290,44,15,4.05,272,Paperback,,1253,45,John Gribbin,,,Mark Evan Chimsky,,,2378,16,50
100011,0813214300,In Search of Schopenhauer's Cat: Arthur Schopenhauer's Quantum-Mystical Theory of Justice,9780813214306,,,,ES,2006/2/3,Catholic University of America Press,,false,2,100011,16,24,7,0,2006/2/1,In Search of Schopenhauer's Cat: Arthur Schopenhauer's Quantum-Mystical Theory of Justice,book,0,4,2,1,0,3.43,193,Hardcover,,7,0,Raymond B. Marcin,,,,,,9,0,
100016,0192853740,Indian Philosophy: A Very Short Introduction,9780192853745,,,,ES,2001/6/7,"Oxford University Press, USA",en-GB,false,7,100016,1125,917,260,32,2001/2/22,Indian Philosophy: A Very Short Introduction (Very Short Introductions),book,36,100,93,27,4,3.53,168,Paperback,,233,30,Sue Hamilton,,,,,,724,11,29
100021,0195052161,What Does It All Mean? A Very Short Introduction to Philosophy,9780195052169,,,,ES,1987/10/15,"Oxford University Press, USA",en-US,false,38,100021,5348,7903,2166,197,1987/10/15,What Does It All Mean?: A Very Short Introduction to Philosophy,book,428,813,698,190,37,3.65,112,Paperback,,1562,146,Thomas Nagel,,,,,,2376,31,191
100026,048667164X,Mathematics of Classical and Quantum Physics,9780486671642,,,,ES,1992/8/20,Dover Publications,eng,false,5,100026,530,525,124,5,1969/1/1,Mathematics of Classical and Quantum Physics,book,60,41,17,4,2,4.23,672,Paperback,,117,5,"Frederick W. Byron Jr.,Robert W.  Fuller",,,,,,310,6,33
100031,0830641920,The Probable Universe: An Owner's Guide to Quantum Physics,9780830641925,,,,ES,,,,false,1,100031,15,7,2,0,1992/1/1,The Probable Universe: An Owner's Guide to Quantum Physics,,0,1,1,0,0,3.50,,,,2,0,M.Y. Han,,,,,,4,1,
100036,0521433053,A Guide to Quantum Groups,9780521433051,,,,ES,1994/11/25,Cambridge University Press,,false,3,2700449,10,5,1,0,1994/1/1,A Guide to Quantum Groups,,1,0,0,0,0,5.00,667,Hardcover,,0,0,"Andrew N. Pressley,Vyjayanthi Chari",,,,,,4,0,1
100041,0070540187,Schaum's Outline of Quantum Mechanics,9780070540187,,,,ES,1998/4/30,McGraw-Hill Companies,,false,1,100041,83,80,23,2,1998/4/30,Schaum's Outline of Quantum Mechanics (Schaum's),book,6,3,10,4,0,3.48,320,Paperback,,23,2,"Elyahu Zaruur,Reuven Pnini,Yoav Peleg",,,,,,31,2,3
100046,0750617772,The Chaos Cookbook,9780750617772,,,,ES,1996/1/1,Butterworth-Heinemann,,false,2,100046,8,0,0,0,1992/2/1,The Chaos Cookbook: A Practical Programming Guide,book,0,0,0,0,0,0.00,487,Paperback,,0,0,Joe Pritchard,,,,,,4,0,
100056,0932379796,"New, Improved! Dykes to Watch Out For (DtWOF, #3)",9780932379795,,,,ES,1990/3/1,Firebrand Books,eng,false,3,100056,983,2682,621,14,1990/1/1,New Improved!: Dykes to Watch Out for,book,316,206,80,19,0,4.32,118,Paperback,,617,14,Alison Bechdel,,,,,,238,16,
100061,0805445625,When Godly People Do Ungodly Things,9780805445626,,,,ES,2007/1/1,B&H Publishing Group,,false,13,9070071,7531,11837,2751,142,2002/4/1,When Godly People Do Ungodly Things: Arming Yourself in the Age of Seduction,book,1449,837,355,69,41,4.30,,Hardcover,,0,0,Beth Moore,,,,,,3724,31,398
100066,0849378354,Issue Driven System Engineering Managing The Design Iteration Process.,9780849378355,,,,ES,2001/5/29,CRC,,false,1,100066,2,0,0,0,2001/5/29,Issue Driven System Engineering,,0,0,0,0,0,0.00,,Loose Leaf,,0,0,Mack Alford,,,,,,2,0,
