id,isbn,title,isbn13,asin,kindle_asin,marketplace_id,country_code,publication_date,publisher,language_code,is_ebook,books_count,best_book_id,reviews_count,ratings_sum,ratings_count,text_reviews_count,original_publication_date,original_title,media_type,num_ratings_5,num_ratings_4,num_ratings_3,num_ratings_2,num_ratings_1,average_rating,num_pages,format,edition_information,ratings_count_global,text_reviews_count_global,authors,illustrator,contributor,editor,translator,narrator,to_read,read,currently_reading,genres
1,0439785960,"Harry Potter and the Half-Blood Prince (Harry Potter, #6)",9780439785969,,,,ES,2006/9/16,Scholastic Inc.,eng,false,10,1,2492832,9418917,2066190,33139,2005/7/16,Harry Potter and the Half-Blood Prince,book,1374053,512205,148325,23250,8357,4.56,652,Paperback,,1923414,25858,J.K. Rowling,Mary GrandPré,,,,,230741,7503,22404,"adventure,childrens,classics,contemporary,fantasy,fiction,juvenile,magic,middle-grade,mystery,novels,paranormal,romance,science-fiction-fantasy,supernatural,teen,urban-fantasy,witches,young-adult"
501,1425318738,The Tesla Rotating Magnetic Field,9781425318734,,,,ES,,,,false,2,501,18,4,1,0,2005/1/1,The Tesla Rotating Magnetic Field,,0,1,0,0,0,4.00,,,,1,0,"Nikola Tesla,Thomas Commerford Martin",,,,,,15,0,2,
1001,0740755706,Millionaire Women Next Door: The Many Journeys of Successful American Businesswomen,9780740755705,,,,ES,2005/8/1,Andrews McMeel Publishing,,false,10,1000,1817,2275,588,65,2004/1/1,Millionaire Women Next Door: The Many Journeys of Successful American Businesswomen,book,209,164,155,49,11,3.87,,Paperback,,13,3,Thomas J. Stanley,,,,,,972,12,129,"adult,business,economics,feminism,non-fiction,sociology"
1501,0865165130,The Essential Euripides,9780865165137,,,,ES,1995/1/1,Bolchazy-Carducci Publishers,,false,1,1501,12,38,8,0,2002/3/1,The Essential Euripides: Dancing in Dark Times,,6,2,0,0,0,4.75,555,Paperback,,8,0,"Euripides,Robert Emmet Meagher",,,,,,4,0,,"adult,adult-fiction"
2001,1584153253,J.K. Rowling,9781584153252,,,,ES,2005/2/1,Mitchell Lane Publishers,,false,2,2001,289,380,93,2,2001/1/1,J.K. Rowling (Blue Banner Biographies),book,49,17,17,6,4,4.09,32,Hardcover,,92,1,Ann Gaines,,,,,,173,2,1,"biography,biography-memoir,non-fiction"
2501,0439436540,The Time Machine,9780439436540,,,,ES,2004/3/1,Scholastic Paperbacks,eng,false,663,2493,596371,1374462,354053,9065,1895/5/7,The Time Machine,book,100642,137651,93284,18320,4156,3.88,123,Paperback,,257,31,H.G. Wells,,,,,,195745,971,10698,"adult,adult-fiction,adventure,british-literature,classic-literature,classics,dystopia,english-literature,fantasy,fiction,historical,historical-fiction,horror,literature,novella,novels,post-apocalyptic,school,science,science-fiction,science-fiction-fantasy,speculative-fiction,steampunk,time-travel,victorian,young-adult"
3001,155936047X,The Secret Garden,9781559360470,,,,ES,1993/1/1,Theatre Communications Group,,false,6,3001,536,1557,364,12,1992/4/1,The Secret Garden,,190,115,38,12,9,4.28,120,Paperback,,351,11,"Lucy Simon,Marsha Norman",,,,,,116,5,2,"drama,fairy-tales,fantasy,fiction,historical-fiction,nature,plays,theatre"
3501,0671477099,"The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide, #1)",9780671477097,,,,ES,1983/3/3,Pocket Books,en-US,false,306,386162,1836236,5085444,1206003,25145,1979/10/12,The Hitchhiker's Guide to the Galaxy,book,605689,355935,169957,48966,25456,4.22,,Paperback,10th Anniversary ,619,58,Douglas Adams,,,,,,3889,2334,19209,"adult,adult-fiction,adventure,aliens,british-literature,classics,comedy,contemporary,fantasy,fiction,funny,humor,literature,modern-classics,novels,science,science-fiction,science-fiction-fantasy,speculative-fiction,unfinished,young-adult"
4001,050028556X,"The House of God: Church Architecture, Style and History",9780500285565,,,,ES,2005/10/29,Thames & Hudson,,false,3,4001,52,53,13,4,1990/11/1,"The House of God: Church Architecture, Style and History",,4,6,3,0,0,4.08,312,Paperback,,11,3,Edward Norman,,,,,,27,0,4,"christian,faith,history,literature,non-fiction,reference,religion"
4501,0681186666,"Appetizers Finger Food Buffets and Parties: How to Plan the Perfect Celebration with over 400 Inspiring Appetizers, Snacks, First Courses, Party Dishes and Desserts",9780681186668,,,,ES,,,,false,2,4501,92,81,21,5,2005/1/1,"Appetizers, Finger Food, Buffets & Parties",,7,7,5,1,1,3.86,,,,21,5,Bridget Jones,,,,,,39,2,,"cookbooks,cooking,food,reference"
