publication_year,average_rating,ratings_count,num_pages,number_of_books,genre,supergenre
1957.0,3.6799999999999997,4428.0,1342.0,4,academic,Academicos
1958.0,3.6799999999999997,4428.0,1342.0,4,academic,Academicos
1959.0,3.6799999999999997,4428.0,1342.0,4,academic,Academicos
1960.0,3.6799999999999997,4428.0,1342.0,4,academic,Academicos
1961.0,3.6799999999999997,4428.0,1342.0,4,academic,Academicos
1962.0,3.67,144326.0,1616.0,5,academic,Academicos
1963.0,3.67,144326.0,1616.0,5,academic,Academicos
1964.0,3.67,144326.0,1616.0,5,academic,Academicos
1965.0,3.67,144326.0,1616.0,5,academic,Academicos
1966.0,3.6816666666666666,145036.0,1680.0,6,academic,Academicos
1967.0,3.6816666666666666,145036.0,1680.0,6,academic,Academicos
1968.0,3.1557142857142857,145036.0,1896.0,7,academic,Academicos
1969.0,3.26125,145037.0,2263.0,8,academic,Academicos
1970.0,3.287777777777778,145039.0,3457.0,9,academic,Academicos
1971.0,3.287777777777778,145039.0,3457.0,9,academic,Academicos
1972.0,3.287777777777778,145039.0,3457.0,9,academic,Academicos
1973.0,3.2240740740740743,145076.0,4679.0,12,academic,Academicos
1974.0,3.3606837606837607,145077.0,4718.0,13,academic,Academicos
1975.0,3.3606837606837607,145077.0,4718.0,13,academic,Academicos
1976.0,3.2634920634920634,145078.0,5164.0,14,academic,Academicos
1977.0,3.0459259259259257,145078.0,5206.0,15,academic,Academicos
1978.0,3.0459259259259257,145078.0,5206.0,15,academic,Academicos
1979.0,2.855555555555555,145078.0,5268.0,16,academic,Academicos
1980.0,2.8113580246913576,145095.0,6092.0,18,academic,Academicos
1981.0,2.7466901822457372,145467.0,6775.0,21,academic,Academicos
1982.0,2.7722688699741833,145471.0,7185.0,23,academic,Academicos
1983.0,2.786925195487997,145632.0,8310.0,26,academic,Academicos
1984.0,2.82740944750696,145648.0,8556.0,27,academic,Academicos
1985.0,2.9050019672388543,145651.0,8890.0,28,academic,Academicos
1986.0,2.9163655439891922,150724.0,10017.0,33,academic,Academicos
1987.0,2.8830408141609296,150726.0,10601.0,35,academic,Academicos
1988.0,2.9003910624268503,154033.0,11429.0,37,academic,Academicos
1989.0,2.9282755081524594,157132.0,11925.0,38,academic,Academicos
1990.0,2.95522813803492,348699.0,12949.0,41,academic,Academicos
1991.0,2.973198896653136,348706.0,13125.0,42,academic,Academicos
1992.0,2.973198896653136,348706.0,13125.0,42,academic,Academicos
1993.0,2.9698336418617512,348920.0,15516.0,48,academic,Academicos
1994.0,2.9543560718259485,348989.0,16329.0,52,academic,Academicos
1995.0,2.9639132341563856,349181.0,17001.0,55,academic,Academicos
1996.0,2.9559147301192064,349190.0,18099.0,58,academic,Academicos
1997.0,2.9521019203358314,349296.0,18614.0,61,academic,Academicos
1998.0,2.948454198484511,349325.0,20374.0,65,academic,Academicos
1999.0,2.9458938107124286,356053.0,22186.0,71,academic,Academicos
2000.0,2.954006396674756,356399.0,22494.0,72,academic,Academicos
2001.0,2.949118154613246,356417.0,23668.0,76,academic,Academicos
2002.0,2.9322648440624652,356843.0,24811.0,81,academic,Academicos
2003.0,2.9284478109919716,357459.0,26351.0,86,academic,Academicos
2004.0,2.9189714136387552,383951.0,28118.0,93,academic,Academicos
2005.0,2.918183048549696,386786.0,29801.0,97,academic,Academicos
2006.0,2.912612626505091,386806.0,31347.0,102,academic,Academicos
2007.0,2.924144582858817,386823.0,32045.0,106,academic,Academicos
2008.0,2.9253909628325894,386918.0,33026.0,109,academic,Academicos
2009.0,2.9253909628325894,386918.0,33026.0,109,academic,Academicos
2010.0,2.9253909628325894,386918.0,33026.0,109,academic,Academicos
2011.0,2.9253909628325894,386918.0,33026.0,109,academic,Academicos
2012.0,2.9253909628325894,386918.0,33026.0,109,academic,Academicos
2013.0,2.9253909628325894,386918.0,33026.0,109,academic,Academicos
2014.0,2.9253909628325894,386918.0,33026.0,109,academic,Academicos
2015.0,2.9253909628325894,386918.0,33026.0,109,academic,Academicos
2016.0,2.9253909628325894,386918.0,33026.0,109,academic,Academicos
2017.0,2.9253909628325894,386918.0,33026.0,109,academic,Academicos
2018.0,2.9253909628325894,386918.0,33026.0,109,academic,Academicos
1951.0,4.15,754.0,432.0,2,action,Generalista
1952.0,4.15,754.0,432.0,2,action,Generalista
1953.0,4.15,754.0,432.0,2,action,Generalista
1954.0,4.15,754.0,432.0,2,action,Generalista
1955.0,4.15,754.0,432.0,2,action,Generalista
1956.0,4.15,754.0,432.0,2,action,Generalista
1957.0,3.9400000000000004,2903.0,566.0,3,action,Generalista
1958.0,3.9400000000000004,2903.0,566.0,3,action,Generalista
1959.0,3.9400000000000004,2903.0,566.0,3,action,Generalista
1960.0,3.9400000000000004,2903.0,566.0,3,action,Generalista
1961.0,3.9400000000000004,2903.0,566.0,3,action,Generalista
1962.0,3.9400000000000004,2903.0,566.0,3,action,Generalista
1963.0,3.9400000000000004,2903.0,566.0,3,action,Generalista
1964.0,3.9400000000000004,2903.0,566.0,3,action,Generalista
1965.0,3.9400000000000004,2903.0,566.0,3,action,Generalista
1966.0,3.9400000000000004,2903.0,566.0,3,action,Generalista
1967.0,3.9400000000000004,2903.0,566.0,3,action,Generalista
1968.0,3.9400000000000004,2903.0,566.0,3,action,Generalista
1969.0,3.9400000000000004,2903.0,566.0,3,action,Generalista
1970.0,3.705,2904.0,886.0,4,action,Generalista
1971.0,3.404166666666667,15827.0,1445.0,6,action,Generalista
1972.0,3.525,15831.0,1492.0,7,action,Generalista
1973.0,3.525,15831.0,1492.0,7,action,Generalista
1974.0,3.525,15831.0,1492.0,7,action,Generalista
1975.0,3.084375,15831.0,1554.0,8,action,Generalista
1976.0,3.176401515151515,15840.0,2432.0,11,action,Generalista
1977.0,3.155944264069264,15844.0,3242.0,14,action,Generalista
1978.0,3.081822747564935,19816.0,3877.0,16,action,Generalista
1979.0,3.113656638043974,30105.0,4852.0,19,action,Generalista
1980.0,3.0844348933752133,30106.0,5115.0,21,action,Generalista
1981.0,3.112415125494522,30116.0,5542.0,22,action,Generalista
1982.0,3.112415125494522,30116.0,5542.0,22,action,Generalista
1983.0,3.0600145437447326,30119.0,6460.0,26,action,Generalista
1984.0,3.1133473384208536,30121.0,6680.0,27,action,Generalista
1985.0,3.1133473384208536,30121.0,6680.0,27,action,Generalista
1986.0,3.092197430199445,30123.0,6811.0,29,action,Generalista
1987.0,3.1031241825261304,30154.0,7011.0,30,action,Generalista
1988.0,3.0486860759849344,30191.0,8698.0,33,action,Generalista
1989.0,3.0288151664668344,30197.0,9742.0,36,action,Generalista
1990.0,3.052090432238001,37946.0,9934.0,37,action,Generalista
1991.0,3.0424548380987178,37948.0,10748.0,40,action,Generalista
1992.0,3.0405026539716613,39565.0,12873.0,48,action,Generalista
1993.0,3.05702300797224,160970.0,13270.0,49,action,Generalista
1994.0,3.055882547812795,160972.0,13358.0,50,action,Generalista
1995.0,3.052375329929535,160996.0,14083.0,53,action,Generalista
1996.0,3.0434660504145423,161082.0,16352.0,62,action,Generalista
1997.0,3.053640807226443,161100.0,17544.0,66,action,Generalista
1998.0,3.03175854233593,161115.0,19054.0,71,action,Generalista
1999.0,3.0146684284381173,161118.0,19668.0,75,action,Generalista
2000.0,3.014324524280673,161132.0,20902.0,79,action,Generalista
2001.0,3.002033437794688,161306.0,23835.0,87,action,Generalista
2002.0,2.993857451008365,161323.0,25711.0,93,action,Generalista
2003.0,2.9987772729368514,161349.0,26588.0,98,action,Generalista
2004.0,2.991760506211032,168528.0,28384.0,106,action,Generalista
2005.0,2.9875284295785,213838.0,29743.0,111,action,Generalista
2006.0,2.997286952126057,214480.0,30734.0,114,action,Generalista
2007.0,3.0061759619668096,214631.0,33101.0,121,action,Generalista
2008.0,3.01481074797823,215288.0,34690.0,128,action,Generalista
2009.0,3.01481074797823,215288.0,34690.0,128,action,Generalista
2010.0,3.01481074797823,215288.0,34690.0,128,action,Generalista
2011.0,3.01481074797823,215288.0,34690.0,128,action,Generalista
2012.0,3.01481074797823,215288.0,34690.0,128,action,Generalista
2013.0,3.01481074797823,215288.0,34690.0,128,action,Generalista
2014.0,3.01481074797823,215288.0,34690.0,128,action,Generalista
2015.0,3.01481074797823,215288.0,34690.0,128,action,Generalista
2016.0,3.01481074797823,215288.0,34690.0,128,action,Generalista
2017.0,3.01481074797823,215288.0,34690.0,128,action,Generalista
2018.0,3.01481074797823,215288.0,34690.0,128,action,Generalista
1969.0,5.0,2.0,554.0,2,aliens,Fantasia
1970.0,5.0,2.0,554.0,2,aliens,Fantasia
1971.0,5.0,2.0,554.0,2,aliens,Fantasia
1972.0,5.0,2.0,554.0,2,aliens,Fantasia
1973.0,5.0,2.0,554.0,2,aliens,Fantasia
1974.0,4.333333333333333,3.0,1089.0,3,aliens,Fantasia
1975.0,3.25,3.0,1151.0,4,aliens,Fantasia
1976.0,3.25,3.0,1151.0,4,aliens,Fantasia
1977.0,3.25,3.0,1151.0,4,aliens,Fantasia
1978.0,3.25,3.0,1151.0,4,aliens,Fantasia
1979.0,3.25,3.0,1151.0,4,aliens,Fantasia
1980.0,2.6,3.0,1423.0,5,aliens,Fantasia
1981.0,2.6,3.0,1423.0,5,aliens,Fantasia
1982.0,2.6,3.0,1423.0,5,aliens,Fantasia
1983.0,2.7866666666666666,63.0,1999.0,6,aliens,Fantasia
1984.0,2.7866666666666666,63.0,1999.0,6,aliens,Fantasia
1985.0,2.7866666666666666,63.0,1999.0,6,aliens,Fantasia
1986.0,2.7866666666666666,63.0,1999.0,6,aliens,Fantasia
1987.0,2.7866666666666666,63.0,1999.0,6,aliens,Fantasia
1988.0,2.3885714285714283,63.0,2383.0,7,aliens,Fantasia
1989.0,2.5026190476190475,41008.0,3085.0,9,aliens,Fantasia
1990.0,2.5026190476190475,41008.0,3085.0,9,aliens,Fantasia
1991.0,2.5026190476190475,41008.0,3085.0,9,aliens,Fantasia
1992.0,2.5026190476190475,41008.0,3085.0,9,aliens,Fantasia
1993.0,2.624623015873016,41032.0,3728.0,12,aliens,Fantasia
1994.0,2.422728937728938,41032.0,4083.0,13,aliens,Fantasia
1995.0,2.422728937728938,41032.0,4083.0,13,aliens,Fantasia
1996.0,2.4104750457875457,41136.0,4775.0,16,aliens,Fantasia
1997.0,2.515741219564749,41141.0,5129.0,17,aliens,Fantasia
1998.0,2.5883337869560776,41159.0,5563.0,19,aliens,Fantasia
1999.0,2.550794082815312,41164.0,5737.0,21,aliens,Fantasia
2000.0,2.550794082815312,41164.0,5737.0,21,aliens,Fantasia
2001.0,2.550794082815312,41164.0,5737.0,21,aliens,Fantasia
2002.0,2.550794082815312,41164.0,5737.0,21,aliens,Fantasia
2003.0,2.6412125335964345,43230.0,5973.0,22,aliens,Fantasia
2004.0,2.5263772060487635,43230.0,6153.0,23,aliens,Fantasia
2005.0,2.5263772060487635,43230.0,6153.0,23,aliens,Fantasia
2006.0,2.504522117806813,43823.0,6665.0,25,aliens,Fantasia
2007.0,2.558963574814243,43847.0,6903.0,26,aliens,Fantasia
2008.0,2.558963574814243,43847.0,6903.0,26,aliens,Fantasia
2009.0,2.558963574814243,43847.0,6903.0,26,aliens,Fantasia
2010.0,2.558963574814243,43847.0,6903.0,26,aliens,Fantasia
2011.0,2.558963574814243,43847.0,6903.0,26,aliens,Fantasia
2012.0,2.558963574814243,43847.0,6903.0,26,aliens,Fantasia
2013.0,2.558963574814243,43847.0,6903.0,26,aliens,Fantasia
2014.0,2.558963574814243,43847.0,6903.0,26,aliens,Fantasia
2015.0,2.558963574814243,43847.0,6903.0,26,aliens,Fantasia
2016.0,2.558963574814243,43847.0,6903.0,26,aliens,Fantasia
2017.0,2.558963574814243,43847.0,6903.0,26,aliens,Fantasia
2018.0,2.558963574814243,43847.0,6903.0,26,aliens,Fantasia
1951.0,4.15,754.0,432.0,2,american,Costumbrista
1952.0,4.15,754.0,432.0,2,american,Costumbrista
1953.0,4.15,754.0,432.0,2,american,Costumbrista
1954.0,4.15,754.0,432.0,2,american,Costumbrista
1955.0,4.15,754.0,432.0,2,american,Costumbrista
1956.0,4.15,754.0,432.0,2,american,Costumbrista
1957.0,4.0200000000000005,2963.0,912.0,3,american,Costumbrista
1958.0,4.0200000000000005,2963.0,912.0,3,american,Costumbrista
1959.0,4.0200000000000005,2963.0,912.0,3,american,Costumbrista
1960.0,4.0525,2989.0,976.0,4,american,Costumbrista
1961.0,4.042,4146.0,1300.0,5,american,Costumbrista
1962.0,4.043333333333333,5007.0,1486.0,6,american,Costumbrista
1963.0,4.043333333333333,5007.0,1486.0,6,american,Costumbrista
1964.0,4.043333333333333,5007.0,1486.0,6,american,Costumbrista
1965.0,4.065714285714286,18137.0,1645.0,7,american,Costumbrista
1966.0,4.065714285714286,18137.0,1645.0,7,american,Costumbrista
1967.0,4.0175,18162.0,1813.0,8,american,Costumbrista
1968.0,4.0175,18162.0,1813.0,8,american,Costumbrista
1969.0,4.126666666666667,18163.0,2090.0,9,american,Costumbrista
1970.0,4.126666666666667,18163.0,2090.0,9,american,Costumbrista
1971.0,4.003761904761905,37572.0,2945.0,14,american,Costumbrista
1972.0,4.003761904761905,37572.0,2945.0,14,american,Costumbrista
1973.0,4.003761904761905,37572.0,2945.0,14,american,Costumbrista
1974.0,3.981339285714286,37597.0,3640.0,16,american,Costumbrista
1975.0,3.981339285714286,37597.0,3640.0,16,american,Costumbrista
1976.0,3.7471428571428578,37597.0,3671.0,17,american,Costumbrista
1977.0,3.7865037593984967,37763.0,4446.0,19,american,Costumbrista
1978.0,3.597178571428572,37763.0,4541.0,20,american,Costumbrista
1979.0,3.5934431818181825,37852.0,5196.0,22,american,Costumbrista
1980.0,3.6001747159090915,38495.0,6191.0,24,american,Costumbrista
1981.0,3.6001747159090915,38495.0,6191.0,24,american,Costumbrista
1982.0,3.5265077617694813,38516.0,6566.0,28,american,Costumbrista
1983.0,3.5265077617694813,38516.0,6566.0,28,american,Costumbrista
1984.0,3.4049040458463957,38516.0,6884.0,29,american,Costumbrista
1985.0,3.392250794413696,38538.0,7520.0,32,american,Costumbrista
1986.0,3.352367001578248,38710.0,9096.0,38,american,Costumbrista
1987.0,3.3695578265387915,38724.0,9795.0,40,american,Costumbrista
1988.0,3.336473116383106,38779.0,10294.0,42,american,Costumbrista
1989.0,3.3041669091925807,79721.0,10916.0,44,american,Costumbrista
1990.0,3.307989367688394,79969.0,11961.0,46,american,Costumbrista
1991.0,3.293445093904516,80573.0,13738.0,53,american,Costumbrista
1992.0,3.274178799182024,80593.0,15644.0,58,american,Costumbrista
1993.0,3.2771091525289906,80600.0,16003.0,60,american,Costumbrista
1994.0,3.274602448197743,82029.0,17903.0,66,american,Costumbrista
1995.0,3.2744812869555213,84398.0,19312.0,71,american,Costumbrista
1996.0,3.2603029554377767,88493.0,21499.0,78,american,Costumbrista
1997.0,3.258002921072221,94939.0,23908.0,86,american,Costumbrista
1998.0,3.246764794424747,96125.0,26440.0,93,american,Costumbrista
1999.0,3.244103870575339,96244.0,27188.0,99,american,Costumbrista
2000.0,3.238818513964556,96914.0,30279.0,109,american,Costumbrista
2001.0,3.225176613843125,98809.0,32118.0,115,american,Costumbrista
2002.0,3.22325520093238,100803.0,34206.0,125,american,Costumbrista
2003.0,3.2281649362637155,107375.0,36055.0,133,american,Costumbrista
2004.0,3.22437324845333,143770.0,40988.0,150,american,Costumbrista
2005.0,3.222752452341464,694017.0,44124.0,159,american,Costumbrista
2006.0,3.2232567734261957,697646.0,47547.0,173,american,Costumbrista
2007.0,3.2236434421452564,698334.0,49356.0,180,american,Costumbrista
2008.0,3.2256860978285276,709208.0,52627.0,192,american,Costumbrista
2009.0,3.230973177668723,709299.0,53813.0,195,american,Costumbrista
2010.0,3.230973177668723,709299.0,53813.0,195,american,Costumbrista
2011.0,3.2313253553336785,709309.0,53868.0,196,american,Costumbrista
2012.0,3.233958221550259,709313.0,54092.0,197,american,Costumbrista
2013.0,3.233958221550259,709313.0,54092.0,197,american,Costumbrista
2014.0,3.234796816390914,709318.0,54418.0,198,american,Costumbrista
2015.0,3.234796816390914,709318.0,54418.0,198,american,Costumbrista
2016.0,3.234796816390914,709318.0,54418.0,198,american,Costumbrista
2017.0,3.234796816390914,709318.0,54418.0,198,american,Costumbrista
2018.0,3.234796816390914,709318.0,54418.0,198,american,Costumbrista
1954.0,3.9,1764.0,488.0,2,animals,Academicos
1955.0,3.9,1764.0,488.0,2,animals,Academicos
1956.0,3.9,1764.0,488.0,2,animals,Academicos
1957.0,3.9,1764.0,488.0,2,animals,Academicos
1958.0,3.9,1764.0,488.0,2,animals,Academicos
1959.0,3.9,1764.0,488.0,2,animals,Academicos
1960.0,3.9,1764.0,488.0,2,animals,Academicos
1961.0,2.5999999999999996,1764.0,680.0,3,animals,Academicos
1962.0,2.5999999999999996,1764.0,680.0,3,animals,Academicos
1963.0,2.5999999999999996,1764.0,680.0,3,animals,Academicos
1964.0,2.5999999999999996,1764.0,680.0,3,animals,Academicos
1965.0,2.5999999999999996,1764.0,680.0,3,animals,Academicos
1966.0,2.5999999999999996,1764.0,680.0,3,animals,Academicos
1967.0,2.5999999999999996,1764.0,680.0,3,animals,Academicos
1968.0,2.8175,1794.0,872.0,4,animals,Academicos
1969.0,3.098,27949.0,896.0,5,animals,Academicos
1970.0,3.2625714285714285,27952.0,1428.0,7,animals,Academicos
1971.0,2.900063492063492,27952.0,2002.0,9,animals,Academicos
1972.0,3.0350571428571427,27956.0,2049.0,10,animals,Academicos
1973.0,3.0350571428571427,27956.0,2049.0,10,animals,Academicos
1974.0,3.2136883116883115,27957.0,2206.0,11,animals,Academicos
1975.0,3.2136883116883115,27957.0,2206.0,11,animals,Academicos
1976.0,3.2136883116883115,27957.0,2206.0,11,animals,Academicos
1977.0,3.1981867656153367,29194.0,3232.0,14,animals,Academicos
1978.0,3.223612592764378,29234.0,4045.0,16,animals,Academicos
1979.0,3.223612592764378,29234.0,4045.0,16,animals,Academicos
1980.0,3.302300782055246,29275.0,4621.0,18,animals,Academicos
1981.0,3.302300782055246,29275.0,4621.0,18,animals,Academicos
1982.0,3.268064236878012,29280.0,5341.0,21,animals,Academicos
1983.0,3.197341667402892,29283.0,6923.0,25,animals,Academicos
1984.0,3.197341667402892,29283.0,6923.0,25,animals,Academicos
1985.0,3.222912798328979,44802.0,7691.0,28,animals,Academicos
1986.0,3.1117778742486695,44802.0,7739.0,29,animals,Academicos
1987.0,3.103388982345065,44854.0,8271.0,32,animals,Academicos
1988.0,3.115054012276093,44866.0,9029.0,34,animals,Academicos
1989.0,3.095187687619982,44950.0,10055.0,37,animals,Academicos
1990.0,3.1234722221562983,48618.0,10247.0,38,animals,Academicos
1991.0,3.0851589146642913,48635.0,11899.0,43,animals,Academicos
1992.0,3.067495959033136,55702.0,12928.0,47,animals,Academicos
1993.0,3.0581460398524736,55991.0,14329.0,50,animals,Academicos
1994.0,3.054070657309701,55999.0,15210.0,55,animals,Academicos
1995.0,3.0443501194621625,56000.0,15625.0,57,animals,Academicos
1996.0,3.057378565678332,56080.0,16025.0,58,animals,Academicos
1997.0,3.0480889229170267,56081.0,16223.0,60,animals,Academicos
1998.0,3.031126595996448,56166.0,17140.0,64,animals,Academicos
1999.0,3.0224725873588185,56178.0,18092.0,69,animals,Academicos
2000.0,3.0091975051269833,56185.0,18793.0,72,animals,Academicos
2001.0,3.021563760614179,56284.0,19473.0,75,animals,Academicos
2002.0,3.0305694260607483,56333.0,20033.0,77,animals,Academicos
2003.0,3.0282167170970355,56413.0,20505.0,81,animals,Academicos
2004.0,3.013214197130791,63149.0,21652.0,86,animals,Academicos
2005.0,3.0088631996194,64164.0,24536.0,93,animals,Academicos
2006.0,3.018160513908998,64186.0,26787.0,98,animals,Academicos
2007.0,3.014239188306083,68302.0,29158.0,106,animals,Academicos
2008.0,3.008405224349798,68341.0,30378.0,115,animals,Academicos
2009.0,3.014970696553679,68658.0,30752.0,116,animals,Academicos
2010.0,3.014970696553679,68658.0,30752.0,116,animals,Academicos
2011.0,3.014970696553679,68658.0,30752.0,116,animals,Academicos
2012.0,3.014970696553679,68658.0,30752.0,116,animals,Academicos
2013.0,3.014970696553679,68658.0,30752.0,116,animals,Academicos
2014.0,3.0182615453010837,68663.0,31078.0,117,animals,Academicos
2015.0,2.9926830576290406,68663.0,31164.0,118,animals,Academicos
2016.0,2.9926830576290406,68663.0,31164.0,118,animals,Academicos
2017.0,2.9926830576290406,68663.0,31164.0,118,animals,Academicos
2018.0,2.9926830576290406,68663.0,31164.0,118,animals,Academicos
1969.0,3.39,36.0,384.0,2,anthropology,Academicos
1970.0,3.475,931.0,1765.0,4,anthropology,Academicos
1971.0,3.475,931.0,1765.0,4,anthropology,Academicos
1972.0,3.475,931.0,1765.0,4,anthropology,Academicos
1973.0,3.475,931.0,1765.0,4,anthropology,Academicos
1974.0,3.475,931.0,1765.0,4,anthropology,Academicos
1975.0,3.475,931.0,1765.0,4,anthropology,Academicos
1976.0,3.475,931.0,1765.0,4,anthropology,Academicos
1977.0,3.5780000000000003,2167.0,2293.0,5,anthropology,Academicos
1978.0,3.5780000000000003,2167.0,2293.0,5,anthropology,Academicos
1979.0,3.5780000000000003,2167.0,2293.0,5,anthropology,Academicos
1980.0,3.302416666666667,2184.0,3389.0,8,anthropology,Academicos
1981.0,2.9354814814814816,2184.0,3562.0,9,anthropology,Academicos
1982.0,2.9089333333333336,2187.0,3706.0,10,anthropology,Academicos
1983.0,2.9089333333333336,2187.0,3706.0,10,anthropology,Academicos
1984.0,2.9089333333333336,2187.0,3706.0,10,anthropology,Academicos
1985.0,2.8094388888888893,2194.0,4294.0,12,anthropology,Academicos
1986.0,2.9110205128205133,2256.0,4594.0,13,anthropology,Academicos
1987.0,2.966952478632479,2259.0,5978.0,15,anthropology,Academicos
1988.0,3.0038964504776273,2317.0,6583.0,17,anthropology,Academicos
1989.0,3.0470349612870793,5430.0,7231.0,20,anthropology,Academicos
1990.0,3.0470349612870793,5430.0,7231.0,20,anthropology,Academicos
1991.0,3.0470349612870793,5430.0,7231.0,20,anthropology,Academicos
1992.0,3.0470349612870793,5430.0,7231.0,20,anthropology,Academicos
1993.0,3.0470349612870793,5430.0,7231.0,20,anthropology,Academicos
1994.0,3.108128534559123,5466.0,7551.0,21,anthropology,Academicos
1995.0,2.9668499648064355,5466.0,7767.0,22,anthropology,Academicos
1996.0,2.919897882939501,5569.0,8336.0,24,anthropology,Academicos
1997.0,2.9231019676219208,5570.0,8584.0,25,anthropology,Academicos
1998.0,2.891788106669441,7851.0,9663.0,29,anthropology,Academicos
1999.0,2.883919728336021,28061.0,10155.0,32,anthropology,Academicos
2000.0,2.890462438380993,28425.0,11567.0,37,anthropology,Academicos
2001.0,2.9209634014994292,30235.0,12051.0,39,anthropology,Academicos
2002.0,2.9529393164619435,30281.0,12411.0,40,anthropology,Academicos
2003.0,2.9310275921910316,30425.0,13499.0,46,anthropology,Academicos
2004.0,2.951223837082306,54096.0,16211.0,53,anthropology,Academicos
2005.0,2.9634043638010743,57245.0,17341.0,56,anthropology,Academicos
2006.0,2.980578301137779,57276.0,18374.0,59,anthropology,Academicos
2007.0,2.991590479076417,57475.0,19564.0,62,anthropology,Academicos
2008.0,3.0075969794085373,57482.0,19868.0,63,anthropology,Academicos
2009.0,3.0075969794085373,57482.0,19868.0,63,anthropology,Academicos
2010.0,3.0075969794085373,57482.0,19868.0,63,anthropology,Academicos
2011.0,3.0075969794085373,57482.0,19868.0,63,anthropology,Academicos
2012.0,3.0075969794085373,57482.0,19868.0,63,anthropology,Academicos
2013.0,3.0075969794085373,57482.0,19868.0,63,anthropology,Academicos
2014.0,3.0075969794085373,57482.0,19868.0,63,anthropology,Academicos
2015.0,3.0075969794085373,57482.0,19868.0,63,anthropology,Academicos
